Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating,genres,steam_total_reviews,steam_positive_review_ratio,steam_score,transformed_user_score
Crash Bandicoot 3: Warped,PS,1998.0,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,91.0,12.0,8.9,439.0,E,,,,,8.9
Super Smash Bros. Melee,GC,2001.0,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,92.0,38.0,9.1,573.0,T,,,,,9.1
Need for Speed Underground 2,PS2,2004.0,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,82.0,39.0,8.6,132.0,E,,,,,8.6
Medal of Honor: Frontline,PS2,2002.0,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,88.0,29.0,8.5,137.0,T,,,,,8.5
Just Dance 4,Wii,2012.0,Misc,Ubisoft,4.05,2.16,0.0,0.55,6.76,74.0,10.0,7.2,29.0,E10+,,,,,7.2
Gears of War 2,X360,2008.0,Shooter,Microsoft Game Studios,4.15,1.9,0.06,0.64,6.75,93.0,90.0,7.7,2746.0,M,,,,,7.7
Uncharted 3: Drakes Deception,PS3,2011.0,Action,Sony Computer Entertainment,2.77,2.75,0.19,1.03,6.74,92.0,97.0,8.3,3732.0,T,,,,,8.3
Call of Duty 4: Modern Warfare,PS3,2007.0,Shooter,Activision,3.11,2.26,0.28,1.03,6.69,94.0,44.0,8.4,994.0,M,,,,,8.4
Uncharted 2: Among Thieves,PS3,2009.0,Action,Sony Computer Entertainment,3.27,2.2,0.21,0.98,6.67,96.0,105.0,8.8,5226.0,T,,,,,8.8
Big Brain Academy,DS,2005.0,Misc,Nintendo,1.66,2.75,1.6,0.62,6.63,74.0,45.0,7.4,27.0,E,,,,,7.4
Red Dead Redemption,PS3,2010.0,Action,Take-Two Interactive,2.8,2.53,0.17,1.0,6.51,95.0,73.0,8.9,2475.0,M,,,,,8.9
FIFA 14,PS3,2013.0,Sports,Electronic Arts,0.79,4.24,0.07,1.38,6.48,86.0,37.0,4.3,576.0,E,,,,,4.3
Donkey Kong Country Returns,Wii,2010.0,Platform,Nintendo,3.18,1.8,1.03,0.46,6.47,87.0,77.0,8.6,368.0,E,,,,,8.6
Assassins Creed III,PS3,2012.0,Action,Ubisoft,2.65,2.52,0.16,1.12,6.46,85.0,41.0,6.9,1314.0,M,,,,,6.9
Halo: Combat Evolved,X,2001.0,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,97.0,68.0,8.6,1292.0,M,,,,,8.6
The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,Bethesda Softworks,2.56,2.61,0.25,1.0,6.42,92.0,16.0,6.4,2530.0,M,RPG,252254.0,0.940730374939545,9.4,8.2
Pok\xc3\xa9mon Emerald Version,GBA,2004.0,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,76.0,28.0,9.0,223.0,E,,,,,9.0
Kingdom Hearts,PS2,2002.0,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,85.0,46.0,8.8,610.0,E,,,,,8.8
Red Dead Redemption,X360,2010.0,Action,Take-Two Interactive,3.71,1.97,0.09,0.58,6.35,95.0,96.0,9.0,2327.0,M,,,,,9.0
Halo 3: ODST,X360,2009.0,Shooter,Microsoft Game Studios,4.34,1.34,0.06,0.61,6.34,83.0,94.0,7.1,1166.0,M,,,,,7.1
Super Mario Sunshine,GC,2002.0,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,92.0,61.0,8.6,444.0,E,,,,,8.6
World of Warcraft,PC,2004.0,Role-Playing,Activision,0.09,6.22,0.0,0.0,6.31,93.0,57.0,7.3,2199.0,T,,,,,7.3
Driver,PS,1999.0,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,87.0,22.0,8.0,81.0,T,,,,,8.0
Gears of War 3,X360,2011.0,Shooter,Microsoft Game Studios,4.05,1.59,0.07,0.5,6.21,91.0,96.0,7.8,1510.0,M,,,,,7.8
Kinect Sports,X360,2010.0,Sports,Microsoft Game Studios,3.92,1.73,0.03,0.51,6.19,73.0,51.0,7.4,95.0,E10+,,,,,7.4
Gears of War,X360,2006.0,Shooter,Microsoft Game Studios,3.54,1.88,0.07,0.6,6.09,94.0,88.0,8.3,2301.0,M,,,,,8.3
FIFA 15,PS4,2014.0,Sports,Electronic Arts,0.8,4.33,0.05,0.91,6.08,82.0,47.0,5.7,993.0,E,,,,,5.7
Metal Gear Solid 2: Sons of Liberty,PS2,2001.0,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,96.0,42.0,8.7,1035.0,M,,,,,8.7
Metal Gear Solid,PS,1998.0,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,94.0,20.0,9.4,934.0,M,,,,,9.4
Metal Gear Solid 4: Guns of the Patriots,PS3,2008.0,Action,Konami Digital Entertainment,2.63,1.71,0.83,0.82,5.99,94.0,82.0,8.7,3575.0,M,,,,,8.7
Final Fantasy XII,PS2,2006.0,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95,92.0,64.0,7.7,982.0,T,,,,,7.7
