Name,Platform,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,Critic_Count,transformed_user_score,Sales_SubIndex,Critic_SubIndex,Player_SubIndex,Game_Success_Index
The Elder Scrolls IV: Oblivion,X360,Role-Playing,1.0,0.9999999999999999,0.48148148148148145,1.0,1.0000000000000002,1.0,0.9387755102040816,0.8703703703703703,1.0000000000000002,0.9387755102040816,0.9363819601914841
Super Mario Maker,WiiU,Platform,0.8581560283687943,0.9999999999999999,1.0,0.6896551724137931,0.9772727272727273,1.0,0.9387755102040816,0.8869528001956468,0.9829545454545454,0.9387755102040816,0.9362276186180912
Final Fantasy VII,PS,Role-Playing,1.0,0.9999999999999999,1.0,1.0,1.0000000000000002,0.2333333333333333,1.0,1.0,0.8083333333333336,1.0,0.9361111111111112
Resident Evil 4,PS2,Action,1.0,0.912087912087912,1.0,0.8620689655172414,1.0000000000000002,0.5333333333333333,0.9795918367346939,0.9435392194012884,0.8833333333333335,0.9795918367346939,0.9354881298231051
God of War III,PS3,Action,1.0,0.9999999999999999,0.44444444444444436,1.0,1.0000000000000002,1.0,0.9387755102040816,0.861111111111111,1.0000000000000002,0.9387755102040816,0.9332955404383977
Batman: Arkham Asylum,PS3,Action,1.0,0.9999999999999999,0.25925925925925924,1.0,1.0000000000000002,1.0,0.9795918367346939,0.8148148148148148,1.0000000000000002,0.9795918367346939,0.9314688838498363
Super Mario Sunshine,GC,Platform,1.0,0.9999999999999999,1.0,0.5862068965517242,1.0000000000000002,0.9166666666666666,0.9183673469387754,0.896551724137931,0.9791666666666669,0.9183673469387754,0.9313619125811244
Tekken 3,PS,Fighting,1.0,0.9999999999999999,1.0,1.0,1.0000000000000002,0.15,1.0,1.0,0.7875000000000002,1.0,0.9291666666666667
Call of Duty 4: Modern Warfare,PS3,Shooter,1.0,0.9999999999999999,1.0,1.0,1.0000000000000002,0.6333333333333333,0.8775510204081634,1.0,0.9083333333333335,0.8775510204081634,0.9286281179138323
Left 4 Dead 2,X360,Shooter,1.0,0.956043956043956,0.18518518518518517,1.0,1.0000000000000002,1.0,1.0,0.7853072853072853,1.0000000000000002,1.0,0.9284357617690953
Assassins Creed II,X360,Action,1.0,0.9999999999999999,0.2962962962962963,1.0,1.0000000000000002,1.0,0.9591836734693879,0.8240740740740741,1.0000000000000002,0.9591836734693879,0.9277525825144876
Uncharted 3: Drakes Deception,PS3,Action,1.0,0.9999999999999999,0.7037037037037036,1.0,1.0000000000000002,1.0,0.8571428571428572,0.9259259259259259,1.0000000000000002,0.8571428571428572,0.9276895943562611
Professor Layton and the Diabolical Box,DS,Puzzle,0.6382978723404256,0.9999999999999999,1.0,1.0,0.8863636363636365,0.9833333333333333,0.9591836734693879,0.9095744680851063,0.9106060606060606,0.9591836734693879,0.9264547340535184
Resident Evil 2,PS,Action,1.0,0.9999999999999999,1.0,1.0,1.0000000000000002,0.11666666666666667,1.0,1.0,0.7791666666666669,1.0,0.9263888888888889
